model,method,k,MAE,MSE
RF,rf_shap,10,1.8479192079041338,7.481180287342578
RF,rf_shap,10,1.8678222075703954,8.00482733532072
RF,rf_shap,10,1.8823585588469058,7.775969709061135
RF,rf,1,2.015700465274856,8.173292393185557
RF,rf,1,2.171092402809909,9.77647180750493
RF,rf,1,2.156588687875108,9.29151387395522
RF,rf,1,2.275144013224678,10.121731960381638
RF,rf,1,2.2122810271230953,9.666574166935895
RF,rf,2,2.005081901438482,8.102935699205066
RF,rf,2,2.160617984372737,9.698318509593188
RF,rf,2,2.1467634366440773,9.229558839543303
RF,rf,2,2.263541427450219,10.043666092390012
RF,rf,2,2.2013234546429494,9.591448580018907
RF,rf,3,1.790311693345782,7.083151034020614
RF,rf,3,1.9378020964454858,8.532971928069982
RF,rf,3,1.903553874934701,7.837713386798372
RF,rf,3,1.953268666823785,8.50639197993929
RF,rf,3,1.9388467519971988,8.140117542671994
RF,rf,4,1.7926675983268638,7.109522504616888
RF,rf,4,1.941287457574304,8.571834569634365
RF,rf,4,1.9073844458607807,7.872825441196042
RF,rf,4,1.9537434012706765,8.532628877324393
RF,rf,4,1.939901476319086,8.176041985149748
RF,rf,5,1.791790698053679,7.109841726408445
RF,rf,5,1.9404681770299508,8.571383422585603
RF,rf,5,1.905979103498434,7.873226743722122
RF,rf,5,1.9521333325681884,8.526608789471453
RF,rf,5,1.9371741793312527,8.174081609196273
RF,rf,6,1.7827451444950504,7.074466678423612
RF,rf,6,1.9320008550468653,8.528259084580903
RF,rf,6,1.898614717741986,7.848822814954358
RF,rf,6,1.9405434928319238,8.481739891390637
RF,rf,6,1.9287074114672011,8.121081462474395
RF,rf,7,1.773165194362296,7.03709448923545
RF,rf,7,1.9237160516886929,8.49309685980528
RF,rf,7,1.8901919216943912,7.823151723215815
RF,rf,7,1.9274473234613798,8.437185201568367
RF,rf,7,1.9188704996252073,8.081955547122227
RF,rf,8,1.7344275719270201,6.711328119516073
RF,rf,8,1.8747075737568153,8.097475525994245
RF,rf,8,1.8464851155083326,7.488852726483354
RF,rf,8,1.8719357329553412,8.04192426714228
RF,rf,8,1.8793368131535704,7.797481853905731
RF,rf,9,1.730674432792558,6.662314139727181
RF,rf,9,1.8714642566555113,8.058136946186877
RF,rf,9,1.8496111063382468,7.483119291779868
RF,rf,9,1.8654982753006903,7.99195930949581
RF,rf,9,1.883055248644515,7.793762299778063
RF,rf,10,1.7318749350339706,6.671654792514302
RF,rf,10,1.8719747336185866,8.051693059171527
RF,rf,10,1.8479192079041336,7.481180287342579
RF,rf,10,1.8678222075703954,8.00482733532072
RF,rf,10,1.8823585588469056,7.775969709061134
RF,wv_rf,1,2.015700465274856,8.173292393185557
RF,wv_rf,1,2.171092402809909,9.77647180750493
RF,wv_rf,1,2.156588687875108,9.29151387395522
RF,wv_rf,1,2.275144013224678,10.121731960381638
RF,wv_rf,1,2.2122810271230953,9.666574166935895
RF,wv_rf,2,1.9269051321099107,7.800635646107111
RF,wv_rf,2,2.082699914089204,9.3689307618318
RF,wv_rf,2,2.0646147909964863,8.873415230696263
RF,wv_rf,2,2.16022184654873,9.624971784145131
RF,wv_rf,2,2.117888464138247,9.187558575492915
RF,wv_rf,3,1.9036205327142686,7.708245775932817
RF,wv_rf,3,2.060251399630872,9.279443409695977
RF,wv_rf,3,2.0400733053238986,8.75682618830312
RF,wv_rf,3,2.1301290919026052,9.488542499036548
RF,wv_rf,3,2.092253812044027,9.060573285765171
RF,wv_rf,4,1.7935369459961108,7.121943373941812
RF,wv_rf,4,1.9422618846197512,8.583662533706732
RF,wv_rf,4,1.9080656430257923,7.887920430192919
RF,wv_rf,4,1.9537324396775035,8.535378865197007
RF,wv_rf,4,1.9401057972670614,8.180556571453572
RF,wv_rf,5,1.7917906980536789,7.109841726408444
RF,wv_rf,5,1.940468177029951,8.571383422585603
RF,wv_rf,5,1.905979103498434,7.873226743722122
RF,wv_rf,5,1.9521333325681882,8.526608789471453
RF,wv_rf,5,1.9371741793312525,8.174081609196275
RF,wv_rf,6,1.7813405183072448,7.0674395807012385
RF,wv_rf,6,1.93065313520188,8.52777488534769
RF,wv_rf,6,1.8970505730976275,7.848857284255855
RF,wv_rf,6,1.9381415302707912,8.477554527042468
RF,wv_rf,6,1.9275089531372258,8.123172644464995
RF,wv_rf,7,1.7731651943622955,7.03709448923545
RF,wv_rf,7,1.9237160516886929,8.49309685980528
RF,wv_rf,7,1.8901919216943912,7.823151723215816
RF,wv_rf,7,1.9274473234613798,8.437185201568369
RF,wv_rf,7,1.9188704996252073,8.081955547122227
RF,wv_rf,8,1.73442757192702,6.711328119516073
RF,wv_rf,8,1.8747075737568148,8.097475525994245
RF,wv_rf,8,1.8464851155083326,7.488852726483354
RF,wv_rf,8,1.8719357329553412,8.041924267142278
RF,wv_rf,8,1.8793368131535708,7.797481853905732
RF,wv_rf,9,1.7306744327925585,6.662314139727181
RF,wv_rf,9,1.8714642566555113,8.058136946186877
RF,wv_rf,9,1.8496111063382463,7.483119291779866
RF,wv_rf,9,1.8654982753006903,7.99195930949581
RF,wv_rf,9,1.883055248644515,7.793762299778065
RF,wv_rf,10,1.7318749350339706,6.6716547925143015
RF,wv_rf,10,1.8719747336185866,8.051693059171527
RF,wv_rf,10,1.8479192079041338,7.481180287342579
RF,wv_rf,10,1.867822207570395,8.004827335320718
RF,wv_rf,10,1.8823585588469058,7.775969709061135
RF,xgb_shap,1,2.0121499307089543,8.365697465524274
RF,xgb_shap,1,2.1665971606458014,9.968297831773018
RF,xgb_shap,1,2.1601533652448195,9.575121275114252
RF,xgb_shap,1,2.2605279583759272,10.303643286605809
RF,xgb_shap,1,2.2123401283043234,9.872627376250872
RF,xgb_shap,2,1.9269051321099107,7.800635646107111
RF,xgb_shap,2,2.082699914089204,9.3689307618318
RF,xgb_shap,2,2.0646147909964863,8.873415230696263
RF,xgb_shap,2,2.16022184654873,9.624971784145131
RF,xgb_shap,2,2.117888464138247,9.187558575492915
RF,xgb_shap,3,1.7946070512170398,7.120428823364999
RF,xgb_shap,3,1.942976212503554,8.583134850325859
RF,xgb_shap,3,1.909311436833962,7.888150719353074
RF,xgb_shap,3,1.9560338639660901,8.545127408842967
RF,xgb_shap,3,1.94193918382136,8.187877729063525
RF,xgb_shap,4,1.7926675983268634,7.109522504616888
RF,xgb_shap,4,1.941287457574304,8.571834569634365
RF,xgb_shap,4,1.9073844458607807,7.872825441196043
RF,xgb_shap,4,1.9537434012706765,8.532628877324395
RF,xgb_shap,4,1.939901476319086,8.176041985149748
RF,xgb_shap,5,1.7500949955048875,6.784142605161111
RF,xgb_shap,5,1.8872021725158303,8.160161962257819
RF,xgb_shap,5,1.8588162255485576,7.522565704546511
RF,xgb_shap,5,1.8921010067572208,8.111572022906193
RF,xgb_shap,5,1.8969505502626327,7.862386485202512
RF,xgb_shap,6,1.7496109019879045,6.785145861525745
RF,xgb_shap,6,1.8871055184131602,8.164369582598049
RF,xgb_shap,6,1.858439936540368,7.525563355043999
RF,xgb_shap,6,1.891527216208872,8.11285396989245
RF,xgb_shap,6,1.896040866945108,7.861021770173503
RF,xgb_shap,7,1.7416681264147198,6.745748540909098
RF,xgb_shap,7,1.8811164671506995,8.136418219733574
RF,xgb_shap,7,1.8526039619157866,7.508935554880616
RF,xgb_shap,7,1.882011800615955,8.072755643062823
RF,xgb_shap,7,1.8880237651355858,7.827129693117544
RF,xgb_shap,8,1.7344275719270201,6.711328119516073
RF,xgb_shap,8,1.8747075737568148,8.097475525994243
RF,xgb_shap,8,1.8464851155083326,7.488852726483355
RF,xgb_shap,8,1.8719357329553412,8.04192426714228
RF,xgb_shap,8,1.8793368131535706,7.797481853905733
RF,xgb_shap,9,1.7306744327925578,6.66231413972718
RF,xgb_shap,9,1.871464256655511,8.058136946186877
RF,xgb_shap,9,1.8496111063382463,7.483119291779866
RF,xgb_shap,9,1.8654982753006903,7.991959309495808
RF,xgb_shap,9,1.883055248644515,7.793762299778063
RF,xgb_shap,10,1.7318749350339702,6.671654792514302
RF,xgb_shap,10,1.8719747336185866,8.051693059171527
RF,xgb_shap,10,1.8479192079041338,7.481180287342579
RF,xgb_shap,10,1.867822207570395,8.00482733532072
RF,xgb_shap,10,1.8823585588469058,7.775969709061134
LR,xgb,1,2.0793979172237247,7.815179226628405
LR,xgb,1,2.164837906383698,8.994617271221315
LR,xgb,1,2.157973491963665,8.411466420069603
LR,xgb,1,2.173038667258647,8.90807743589617
LR,xgb,1,2.1950998496710037,8.695885469036774
LR,xgb,2,1.6584276163443021,5.160621478764442
LR,xgb,2,1.7563200499247063,5.862268099863025
LR,xgb,2,1.6781236562946686,5.312621033857339
LR,xgb,2,1.7299619443804624,5.898528353150811
LR,xgb,2,1.6644813198343127,5.184528847571721
LR,xgb,3,1.6740377148707217,5.238411850730627
LR,xgb,3,1.7085441398690464,5.554489400202444
LR,xgb,3,1.651565341481502,4.9933270623424635
LR,xgb,3,1.7014175999846066,5.617167814892671
LR,xgb,3,1.6647944920170474,5.141431633294888
LR,xgb,4,1.6408064184694953,4.993683472751578
LR,xgb,4,1.680557068982463,5.340786220891183
LR,xgb,4,1.6148984120549206,4.768169996367376
LR,xgb,4,1.6657597958953891,5.443060422890845
LR,xgb,4,1.6940247576086174,6.329160572507163
LR,xgb,5,1.607660896912455,4.871225852007101
LR,xgb,5,1.6544382640868518,5.251348361316773
LR,xgb,5,1.5720289203593898,4.625411991191842
LR,xgb,5,1.6337386776582261,5.253295760500303
LR,xgb,5,1.670141333686945,6.058919376635901
LR,xgb,6,1.6000467107603564,4.876575652551542
LR,xgb,6,1.637129360964288,5.146703445875926
LR,xgb,6,1.5639259063470696,4.590417254234262
LR,xgb,6,1.6194007432701583,5.132316482877893
LR,xgb,6,1.6543610951197527,6.193048356111171
LR,xgb,7,1.569573701424312,4.705828472280261
LR,xgb,7,1.6179648042008554,5.068368218078444
LR,xgb,7,1.5346476742911086,4.467594293131482
LR,xgb,7,1.5914470580973685,5.008530198828178
LR,xgb,7,1.6298233120365646,5.53149810839279
LR,xgb,8,1.5694140576328053,4.707225723376979
LR,xgb,8,1.617538684988955,5.068815343350662
LR,xgb,8,1.5352467479669931,4.4695747814881015
LR,xgb,8,1.5914724383353587,5.008458553186467
LR,xgb,8,1.6300622804302483,5.540910260094114
LR,xgb,9,1.5688643029663711,4.706397601786512
LR,xgb,9,1.619039380821475,5.076700224292095
LR,xgb,9,1.5354722707104465,4.468170878259287
LR,xgb,9,1.5909027029809437,5.00901675813188
LR,xgb,9,1.6297028478051256,5.539799265042243
LR,xgb,10,1.568864302966371,4.706397601786521
LR,xgb,10,1.6190393808214758,5.076700224292092
LR,xgb,10,1.5410553892215568,4.4707744666916165
LR,xgb,10,1.596126497005988,5.023660588978293
LR,xgb,10,1.6297028478051219,5.539799265042226
LR,perm,1,1.8019382226759815,5.954437951794029
LR,perm,1,1.8911625322564332,6.879406253896245
LR,perm,1,1.8148925154468007,6.019422435427703
LR,perm,1,1.8115484478272534,6.52327290934849
LR,perm,1,1.8273354894637812,6.175003015731761
LR,perm,2,1.6584276163443026,5.160621478764443
LR,perm,2,1.7563200499247063,5.862268099863025
LR,perm,2,1.6781236562946686,5.312621033857338
LR,perm,2,1.7299619443804621,5.89852835315081
LR,perm,2,1.6644813198343122,5.184528847571721
LR,perm,3,1.674037714870722,5.238411850730626
LR,perm,3,1.7085441398690464,5.554489400202444
LR,perm,3,1.651565341481502,4.993327062342462
LR,perm,3,1.7014175999846062,5.617167814892668
LR,perm,3,1.6647944920170479,5.141431633294888
LR,perm,4,1.6408064184694946,4.9936834727515755
LR,perm,4,1.680557068982463,5.340786220891184
LR,perm,4,1.6148984120549206,4.768169996367376
LR,perm,4,1.6657597958953887,5.443060422890844
LR,perm,4,1.6940247576086174,6.3291605725071625
LR,perm,5,1.6141823957717873,4.822547032116861
LR,perm,5,1.6661984249206852,5.252903926123447
LR,perm,5,1.5810284689220315,4.634113389401142
LR,perm,5,1.6364448926709865,5.298879830469351
LR,perm,5,1.6660465650799228,5.614957631775498
LR,perm,6,1.6050747626455855,4.8177875236344265
LR,perm,6,1.6508003368935835,5.146066661628888
LR,perm,6,1.5705296826903643,4.5865963979433415
LR,perm,6,1.6185675787774871,5.178997793638442
LR,perm,6,1.6514115844566088,5.671057960756458
LR,perm,7,1.6050230713310962,4.8151503634488435
LR,perm,7,1.6498777161748592,5.146554887227675
LR,perm,7,1.5723608966464644,4.589007976383278
LR,perm,7,1.6189571406136456,5.176885951577724
LR,perm,7,1.6507245975039673,5.6854428621197775
LR,perm,8,1.5694140576328057,4.707225723376976
LR,perm,8,1.6175386849889548,5.068815343350663
LR,perm,8,1.5352467479669936,4.469574781488102
LR,perm,8,1.5914724383353591,5.008458553186467
LR,perm,8,1.630062280430249,5.5409102600941145
LR,perm,9,1.5688643029663683,4.706397601786502
LR,perm,9,1.6190393808214756,5.076700224292096
LR,perm,9,1.5354722707104465,4.468170878259288
LR,perm,9,1.5909027029809426,5.00901675813187
LR,perm,9,1.6297028478051245,5.5397992650422365
LR,perm,10,1.5688643029663685,4.706397601786504
LR,perm,10,1.6190393808214756,5.076700224292092
LR,perm,10,1.5354722707104462,4.468170878259287
LR,perm,10,1.5909027029809422,5.009016758131871
LR,perm,10,1.6293226047904192,5.548582083879117
LR,rf_shap,1,1.8019382226759815,5.954437951794029
LR,rf_shap,1,1.8911625322564332,6.879406253896245
LR,rf_shap,1,1.8148925154468007,6.019422435427703
LR,rf_shap,1,1.8115484478272534,6.52327290934849
LR,rf_shap,1,1.8273354894637812,6.175003015731761
LR,rf_shap,2,1.6584276163443026,5.160621478764443
LR,rf_shap,2,1.7563200499247063,5.862268099863025
LR,rf_shap,2,1.6781236562946686,5.312621033857338
LR,rf_shap,2,1.7299619443804621,5.89852835315081
LR,rf_shap,2,1.6644813198343122,5.184528847571721
LR,rf_shap,3,1.6185152368014681,4.890465903989305
LR,rf_shap,3,1.7168528344761314,5.586457890150184
LR,rf_shap,3,1.6279464824741325,5.009764215415745
LR,rf_shap,3,1.6888703660929527,5.6732250271500515
LR,rf_shap,3,1.690235024200779,6.6524710628954145
LR,rf_shap,4,1.6408064184694953,4.9936834727515755
LR,rf_shap,4,1.680557068982463,5.340786220891184
LR,rf_shap,4,1.6148984120549208,4.768169996367376
LR,rf_shap,4,1.6657597958953887,5.443060422890844
LR,rf_shap,4,1.6940247576086178,6.329160572507163
LR,rf_shap,5,1.6141823957717873,4.822547032116862
LR,rf_shap,5,1.666198424920685,5.25290392612345
LR,rf_shap,5,1.5810284689220315,4.634113389401143
LR,rf_shap,5,1.6364448926709865,5.298879830469351
LR,rf_shap,5,1.6660465650799223,5.614957631775499
LR,rf_shap,6,1.6050747626455848,4.817787523634427
LR,rf_shap,6,1.6508003368935835,5.146066661628888
LR,rf_shap,6,1.5705296826903645,4.5865963979433415
LR,rf_shap,6,1.6185675787774871,5.178997793638442
LR,rf_shap,6,1.651411584456609,5.671057960756458
LR,rf_shap,7,1.5695737014243119,4.705828472280262
LR,rf_shap,7,1.6179648042008552,5.068368218078444
LR,rf_shap,7,1.5346476742911084,4.467594293131484
LR,rf_shap,7,1.5914470580973696,5.008530198828179
LR,rf_shap,7,1.629823312036564,5.531498108392788
LR,rf_shap,8,1.5694140576328046,4.7072257233769745
LR,rf_shap,8,1.6175386849889548,5.068815343350663
LR,rf_shap,8,1.5352467479669938,4.469574781488103
LR,rf_shap,8,1.5914724383353596,5.0084585531864665
LR,rf_shap,8,1.630062280430249,5.540910260094116
LR,rf_shap,9,1.5688643029663683,4.706397601786503
LR,rf_shap,9,1.619039380821475,5.076700224292095
LR,rf_shap,9,1.5354722707104465,4.468170878259288
LR,rf_shap,9,1.590902702980943,5.009016758131871
LR,rf_shap,9,1.629702847805125,5.539799265042244
LR,rf_shap,10,1.5688643029663685,4.706397601786503
LR,rf_shap,10,1.6190393808214751,5.076700224292094
LR,rf_shap,10,1.5354722707104465,4.468170878259288
LR,rf_shap,10,1.590902702980942,5.009016758131871
LR,rf_shap,10,1.6319797904191617,5.559306289764222
LR,rf,1,1.8019382226759815,5.954437951794029
LR,rf,1,1.8911625322564332,6.879406253896245
LR,rf,1,1.8148925154468007,6.019422435427703
LR,rf,1,1.8115484478272534,6.52327290934849
LR,rf,1,1.8273354894637812,6.175003015731761
LR,rf,2,1.7838709820839378,5.8450677733005945
LR,rf,2,1.875855753564224,6.7741372818634575
LR,rf,2,1.8000066091703535,5.9363131693165005
LR,rf,2,1.7970877614760228,6.445547475025244
LR,rf,2,1.8588489950142093,6.81830420994954
LR,rf,3,1.6608920107621221,5.16741605126861
LR,rf,3,1.7908737651388635,6.180217105606104
LR,rf,3,1.694240928569117,5.476606282652317
LR,rf,3,1.7255989063230635,6.116149987209303
LR,rf,3,1.7522933303945116,6.99343105413383
LR,rf,4,1.6408064184694953,4.993683472751577
LR,rf,4,1.680557068982463,5.340786220891184
LR,rf,4,1.6148984120549206,4.768169996367375
LR,rf,4,1.6657597958953891,5.443060422890844
LR,rf,4,1.6940247576086178,6.3291605725071625
LR,rf,5,1.6337173554497473,5.006797431714887
LR,rf,5,1.6660387636883343,5.249907167100509
LR,rf,5,1.604789146173178,4.7390563039221965
LR,rf,5,1.652563478071354,5.343653178067325
LR,rf,5,1.6819342819710787,6.485620310797983
LR,rf,6,1.6050747626455855,4.817787523634427
LR,rf,6,1.6508003368935837,5.146066661628888
LR,rf,6,1.5705296826903652,4.586596397943342
LR,rf,6,1.6185675787774871,5.178997793638444
LR,rf,6,1.651411584456609,5.671057960756457
LR,rf,7,1.6050230713310967,4.815150363448846
LR,rf,7,1.649877716174859,5.146554887227675
LR,rf,7,1.5723608966464644,4.589007976383278
LR,rf,7,1.6189571406136463,5.176885951577724
LR,rf,7,1.6507245975039673,5.685442862119782
LR,rf,8,1.5694140576328053,4.707225723376975
LR,rf,8,1.617538684988955,5.068815343350663
LR,rf,8,1.5352467479669936,4.469574781488101
LR,rf,8,1.5914724383353596,5.008458553186467
LR,rf,8,1.6300622804302494,5.540910260094119
LR,rf,9,1.5688643029663683,4.706397601786504
LR,rf,9,1.6190393808214756,5.076700224292095
LR,rf,9,1.5354722707104462,4.468170878259287
LR,rf,9,1.5909027029809422,5.009016758131871
LR,rf,9,1.6297028478051248,5.539799265042246
LR,rf,10,1.575657894736842,4.710783305921052
LR,rf,10,1.6190393808214756,5.076700224292094
LR,rf,10,1.5354722707104458,4.468170878259288
LR,rf,10,1.590902702980943,5.009016758131871
LR,rf,10,1.6297028478051239,5.539799265042237
LR,wv_rf,1,1.8019382226759815,5.954437951794029
LR,wv_rf,1,1.8911625322564332,6.879406253896245
LR,wv_rf,1,1.8148925154468007,6.019422435427703
LR,wv_rf,1,1.8115484478272534,6.52327290934849
LR,wv_rf,1,1.8273354894637812,6.175003015731761
LR,wv_rf,2,1.6584276163443026,5.160621478764443
LR,wv_rf,2,1.7563200499247063,5.862268099863025
LR,wv_rf,2,1.6781236562946686,5.312621033857338
LR,wv_rf,2,1.7299619443804621,5.89852835315081
LR,wv_rf,2,1.6644813198343122,5.184528847571721
LR,wv_rf,3,1.6619217161314683,5.175450333602514
LR,wv_rf,3,1.7509568446602426,5.835187795451766
LR,wv_rf,3,1.6741817899347493,5.267602433640815
LR,wv_rf,3,1.7289722912260492,5.89761896343315
LR,wv_rf,3,1.6667338729283463,5.172465379764113
LR,wv_rf,4,1.6711473955588636,5.269745712142864
LR,wv_rf,4,1.6982799355378975,5.49004290969242
LR,wv_rf,4,1.6482005564722941,4.986659490250723
LR,wv_rf,4,1.6922584401712315,5.5415064823303135
LR,wv_rf,4,1.6548964982454408,5.118855848831916
LR,wv_rf,5,1.633717355449747,5.0067974317148884
LR,wv_rf,5,1.6660387636883343,5.249907167100509
LR,wv_rf,5,1.604789146173178,4.739056303922196
LR,wv_rf,5,1.6525634780713545,5.343653178067325
LR,wv_rf,5,1.6819342819710796,6.485620310797992
LR,wv_rf,6,1.6109798162739999,4.882478584588516
LR,wv_rf,6,1.6592288513714342,5.167574972141297
LR,wv_rf,6,1.5722822728633878,4.622246425466746
LR,wv_rf,6,1.6261275364637484,5.227351952695312
LR,wv_rf,6,1.66213546383293,5.831461386409207
LR,wv_rf,7,1.6050230713310971,4.815150363448844
LR,wv_rf,7,1.649877716174859,5.146554887227675
LR,wv_rf,7,1.572360896646464,4.589007976383276
LR,wv_rf,7,1.6189571406136458,5.176885951577722
LR,wv_rf,7,1.6507245975039673,5.685442862119778
LR,wv_rf,8,1.5694140576328053,4.707225723376976
LR,wv_rf,8,1.6175386849889546,5.068815343350663
LR,wv_rf,8,1.5352467479669936,4.469574781488102
LR,wv_rf,8,1.5914724383353591,5.008458553186467
LR,wv_rf,8,1.6300622804302491,5.540910260094116
LR,wv_rf,9,1.5688643029663683,4.706397601786503
LR,wv_rf,9,1.619039380821475,5.076700224292092
LR,wv_rf,9,1.535472270710447,4.468170878259288
LR,wv_rf,9,1.590902702980942,5.00901675813187
LR,wv_rf,9,1.6297028478051248,5.539799265042241
LR,wv_rf,10,1.5688643029663687,4.706397601786502
LR,wv_rf,10,1.6190393808214756,5.076700224292092
LR,wv_rf,10,1.5464071856287425,4.498793038922155
LR,wv_rf,10,1.59438622754491,5.022688997005988
LR,wv_rf,10,1.633065119760479,5.557656074569611
LR,xgb_shap,1,2.0793979172237247,7.815179226628405
LR,xgb_shap,1,2.164837906383698,8.994617271221315
LR,xgb_shap,1,2.157973491963665,8.411466420069603
LR,xgb_shap,1,2.173038667258647,8.90807743589617
LR,xgb_shap,1,2.1950998496710037,8.695885469036774
LR,xgb_shap,2,1.6584276163443021,5.160621478764442
LR,xgb_shap,2,1.7563200499247063,5.862268099863025
LR,xgb_shap,2,1.6781236562946686,5.312621033857339
LR,xgb_shap,2,1.7299619443804624,5.898528353150811
LR,xgb_shap,2,1.6644813198343127,5.184528847571721
LR,xgb_shap,3,1.6740377148707217,5.238411850730627
LR,xgb_shap,3,1.7085441398690464,5.554489400202444
LR,xgb_shap,3,1.651565341481502,4.9933270623424635
LR,xgb_shap,3,1.7014175999846066,5.617167814892671
LR,xgb_shap,3,1.6647944920170474,5.141431633294888
LR,xgb_shap,4,1.6408064184694953,4.993683472751578
LR,xgb_shap,4,1.680557068982463,5.340786220891183
LR,xgb_shap,4,1.6148984120549206,4.768169996367376
LR,xgb_shap,4,1.6657597958953891,5.443060422890845
LR,xgb_shap,4,1.6940247576086174,6.329160572507163
LR,xgb_shap,5,1.607660896912455,4.871225852007101
LR,xgb_shap,5,1.6544382640868518,5.251348361316773
LR,xgb_shap,5,1.5720289203593898,4.625411991191842
LR,xgb_shap,5,1.6337386776582261,5.253295760500303
LR,xgb_shap,5,1.670141333686945,6.058919376635901
LR,xgb_shap,6,1.6000467107603564,4.876575652551542
LR,xgb_shap,6,1.637129360964288,5.146703445875926
LR,xgb_shap,6,1.5639259063470696,4.590417254234262
LR,xgb_shap,6,1.6194007432701583,5.132316482877893
LR,xgb_shap,6,1.6543610951197527,6.193048356111171
LR,xgb_shap,7,1.569573701424312,4.705828472280261
LR,xgb_shap,7,1.6179648042008554,5.068368218078444
LR,xgb_shap,7,1.5346476742911086,4.467594293131482
LR,xgb_shap,7,1.5914470580973685,5.008530198828178
LR,xgb_shap,7,1.6298233120365646,5.53149810839279
LR,xgb_shap,8,1.5694140576328053,4.707225723376979
LR,xgb_shap,8,1.617538684988955,5.068815343350662
LR,xgb_shap,8,1.5352467479669931,4.4695747814881015
LR,xgb_shap,8,1.5914724383353587,5.008458553186467
LR,xgb_shap,8,1.6300622804302483,5.540910260094114
LR,xgb_shap,9,1.5688643029663711,4.706397601786512
LR,xgb_shap,9,1.619039380821475,5.076700224292095
LR,xgb_shap,9,1.5354722707104465,4.468170878259287
LR,xgb_shap,9,1.5909027029809437,5.00901675813188
LR,xgb_shap,9,1.6297028478051256,5.539799265042243
LR,xgb_shap,10,1.568864302966371,4.706397601786521
LR,xgb_shap,10,1.6190393808214758,5.076700224292092
LR,xgb_shap,10,1.5410553892215568,4.4707744666916165
LR,xgb_shap,10,1.596126497005988,5.023660588978293
LR,xgb_shap,10,1.6297028478051219,5.539799265042226
